adjunct,word,level
2级,eviews,4
班级,班干部,2
班级,班长,2
班级,生活委员,2
班级,团支书,2
班级,学习委员,2
党支部,学习委员,2
班级副,班长,1
班级副,团支书,1
网络部,部长,3
办公室,部长,3
信息部副,部长,2
部长,外联部,3
部长,宣传部,3
财务部,部长,3
财务部副,部长,2
审计部,部长,3
策划部,部长,3
常用,db2,3
常用,eviews,3
常用,excel,3
常用,flash,3
常用,powerpoint,3
常用,ppt,3
常用,spss,3
常用,word,3
常用,办公软件,3
初级,spss,2
大学,三好学生,2
大学,优秀干部,3
大学,优秀团员,3
大学,优秀学生,3
社团外联部,部长,3
大学共青团,优秀团员,3
大学团委,优秀团员,3
大学委员会,优秀团员,3
校,三好学生,2
校,优秀团员,3
校,优秀学生,3
大学学生会,优秀干部,3
大学学生会,主席,4
大学学生会常务副,主席,3
大学学生会副,主席,3
大学研究生会,主席,4
大学研究生会副,主席,3
大学优秀,三好学生,2
大学院,优秀学生,2
邓研会副,主席,1
底层,java,4
二级,basic,3
二级,c++,4
二级,cfa,4
二级,eviews,4
丰富,c++,3
丰富,java,3
丰富,mysql,3
负责人,部长,2
负责人,宣传部,2
副,班长,1
副,部长,1
副,会长,1
副,生活委员,2
副,团支书,1
副,学习委员,1
干事,外联部,2
高级,java,2
工作室,主席,2
共青团,优秀干部,3
国家级,奖学金,4
国家,奖学金,4
国家级一等,奖学金,5
国家一等,奖学金,5
国家级励志,奖学金,2
国家励志,奖学金,2
国贸院,优秀学生,2
合唱团,优秀团员,1
活动部,部长,3
活动部副,部长,2
基本,c++,2
基本,eviews,2
基本,flash,2
基本,java,2
基本,javascript,2
基本,mysql,2
基本,oracle,2
基本,spss,2
基本,sqlserver,2
基本,vb,2
基本,办公软件,2
基本,图片处理,2
基础,basic,2
基础,c++,2
基础,css,2
基础,excel,2
基础,mysql,2
基础,powerpoint,2
基础,vb,2
基础,word,2
记者团,优秀干部,2
技术部,部长,3
家纪检部副,部长,2
监察部,部长,3
监察部副,主席,2
简单,flash,2
简单,vb,2
交流部,部长,3
经济,cia,3
经济学会,会长,3
精美,ppt,3
精通,c++,3
精通,css,3
精通,dreamweaver,3
精通,eviews,3
精通,excel,3
精通,html,3
精通,java,3
精通,javascript,3
精通,oracle,3
精通,photoshop,3
精通,powerpoint,3
精通,python,3
精通,spring,3
精通,spss,3
精通,vb,3
精通,word,3
精通,办公软件,3
精通,图片处理,3
具备,c++,2
具有,android,2
俱乐部,主席,2
俱乐部副,会长,1
俱乐部副,主席,1
开发,c++,3
刊物部副,部长,2
科技,实践部,3
牢固,c++,3
乐团,优秀团员,1
了解,c++,2
了解,css,2
了解,db2,2
了解,eviews,2
了解,flash,2
了解,html,2
了解,java,2
了解,javascript,2
了解,jsp,2
了解,mysql,2
了解,oracle,2
了解,php,2
了解,python,2
了解,spring,2
了解,spss,2
了解,sqlserver,2
了解,ssh,2
了解,vb,2
利用,spss,1
联合会,部长,3
联合会,秘书处,2
联合会,优秀干部,2
联合会,主席,2
联合会财务部,部长,3
联合会财务部副,部长,2
联合会常务副,主席,1
联合会发展部,部长,2
联合会发展部副,部长,1
联合会副,部长,2
联合会副,主席,1
联会副,主席,1
良好,c++,2
良好,html,2
良好,jsp,2
留学生联席会,主席,3
留学生联谊会副,主席,1
留学生学生会,主席,3
留学生学生会副,主席,2
秘书部,部长,3
秘书部副,部长,2
能够,.net,1
年级,主席,3
女生会副,主席,1
评议部,部长,3
企划部,部长,3
强,图片处理,3
热爱,java,2
人力资源部副,部长,2
人事部,部长,3
三级,c++,5
善于,spss,3
擅长,c++,3
擅长,eviews,3
擅长,flash,3
擅长,spss,3
社会,实践部,2
社团,部长,3
社团,会长,2
社团,优秀干部,1
社团,主席,2
省,三好学生,4
省,优秀团员,4
省,优秀学生,4
省级,奖学金,2
省级,优秀学生,4
省,优秀学生,4
省级一等,奖学金,3
省一等,奖学金,3
实践部副,部长,2
市,三好学生,3
市,优秀团员,4
市,优秀学生,4
市级,优秀团员,4
市级先锋杯,优秀团员,4
熟练,.net,3
熟练,c++,3
熟练,css,3
熟练,db2,3
熟练,dreamweaver,3
熟练,eviews,3
熟练,excel,3
熟练,fireworks,3
熟练,flash,3
熟练,fortran,3
熟练,html,3
熟练,java,3
熟练,javascript,3
熟练,jquery,3
熟练,jsp,3
熟练,mysql,3
熟练,oracle,3
熟练,photoshop,3
熟练,php,3
熟练,powerpoint,3
熟练,ppt,3
熟练,python,3
熟练,spring,3
熟练,spss,3
熟练,sqlserver,3
熟练,ssh,3
熟练,vb,3
熟练,word,3
熟练,办公软件,3
熟练,动画制作,3
熟练,图片处理,3
熟悉,.net,2
熟悉,c++,3
熟悉,css,2
熟悉,db2,2
熟悉,dreamweaver,2
熟悉,eviews,2
熟悉,excel,2
熟悉,flash,2
熟悉,html,2
熟悉,java,2
熟悉,javascript,2
熟悉,jsp,2
熟悉,mysql,2
熟悉,oracle,2
熟悉,php,2
熟悉,powerpoint,2
熟悉,ppt,2
熟悉,python,2
熟悉,spring,2
熟悉,spss,2
熟悉,sqlserver,2
熟悉,vb,2
熟悉,word,2
熟悉,办公软件,2
体育,生活委员,2
体育部副,主席,1
统计系,主席,3
文化部,部长,3
外联部,部长,3
外联部副,部长,2
外联部副,主席,1
晚会,主席,2
委员会,优秀干部,1
委员会,主席,2
调研部副,部长,2
文艺部,部长,3
文艺部副,部长,2
联合会,秘书处,2
系,优秀团员,2
系,优秀学生,2
系级,优秀团员,2
系学生分会副,主席,2
系学生会,主席,3
系学生会副,主席,2
系研会副,主席,2
系研究生会,主席,3
校级,三好学生,2
项目,java,3
校,三好学生,2
校,优秀干部,3
校,优秀团员,3
校,优秀学生,3
校会副,主席,3
校级,奖学金,1
校级,三好学生,2
校级,优秀干部,3
校级,优秀团干,3
校级,优秀团员,3
校级,优秀学生,3
校级学生会副,主席,3
校级一等,奖学金,2
校一等,奖学金,2
校区,优秀团员,3
校团,优秀干部,3
校团学,优秀团员,2
校五·四,优秀团员,3
校学生会,部长,3
校学生会,优秀干部,3
校学生会,主席,4
校学生会副,主席,3
社团,主席,2
校研究生会,主席,4
校研究生会副,部长,2
校研究生会副,主席,3
公关部,部长,3
协会,会长,2
协会,优秀干部,1
协会,主席,2
协会部,主席,2
协会常务副,主席,1
协会副,会长,1
协会副,主席,1
协会社团副,会长,1
协会组织部,部长,3
新农村服务团,优秀干部,3
新生,优秀团员,3
新闻部,部长,3
新闻中心,部长,3
宿管会,主席,2
宣传,部长,3
宣传部,部长,3
宣传部副,部长,2
学管会,主席,3
校,优秀团员,3
校,优秀学生,3
院,优秀学生,2
院级,优秀学生,2
学生,优秀学生,2
学会副,主席,1
学生会,优秀干部,2
学生会,优秀学生,2
学生会,主席,2
学生会副,主席,1
秘书长,主席,2
社团副,部长,2
体育部副,部长,2
外事部,部长,3
组织部,部长,3
社团,主席,2
社团公关部,部长,3
社团宣传部,部长,3
学习部,部长,3
学校,优秀团员,3
学校,优秀学生,3
学校级,优秀团员,3
学校级,优秀学生,3
学院,三好学生,1
学院,优秀干部,2
学院,优秀团员,2
学院,优秀学生,2
学院,主席,3
学院副,主席,2
学院共青团,优秀干部,2
宣传部,部长,3
学院联合会,会长,2
学院团,优秀干部,2
学院委员会,优秀学生,2
学院新生,优秀干部,2
学院优秀,三好学生,1
学者联盟,主席,2
训练营,主席,2
亚洲学生会副,主席,3
研会,优秀干部,2
研会,主席,4
研会副,主席,3
研究会,主席,2
研究会副,主席,1
研究生,优秀干部,3
研究生部,优秀团员,2
研究生会,优秀干部,3
研究生会,主席,4
研究生会副,主席,2
研究生教育院,优秀团员,2
研究生委员会副,主席,3
研究所研究生会,主席,4
一般,c++,2
一般,图片处理,2
一定,c++,2
一定,oracle,1
一定,spring,1
一定,vb,2
一级,cfa,2
艺术团,优秀干部,1
艺术团,优秀团员,1
音响组,主席,2
应用,c++,3
优社团副,会长,1
有所,c++,2
院,三好学生,1
院,优秀干部,2
院,优秀团员,2
院,优秀学生,2
院,主席,3
院级,三好学生,1
院级,优秀干部,2
院级,优秀团员,2
院级,优秀学生,2
院级副,主席,2
联合会,部长,3
联合会,会长,3
联合会副,主席,1
财务部副,部长,2
院生管会副,主席,2
院团委副,主席,2
实践部,部长,3
学生会副,主席,2
院委员会,优秀团员,2
文体部副,部长,2
文学联盟,主席,2
院系,优秀干部,2
院系,优秀学生,2
院校,优秀团员,3
信息中心,主席,2
院学督部,主席,2
院学生会,优秀干部,2
院学生会,优秀学生,2
院学生会,主席,3
院学生会副,主席,2
院学习部,部长,3
院学学生会副,主席,2
院研分会副,主席,2
院研会,主席,3
院研会副,主席,2
院研究生会,主席,3
院研究生会常务副,主席,2
院研究生会副,主席,2
体育部,部长,3
学术部,部长,3
学术部副,部长,2
院研究生学生会副,主席,2
院优秀,三好学生,1
院志愿中心,主席,2
省,三好学生,4
掌握,c++,3
掌握,db2,2
掌握,dreamweaver,2
掌握,eviews,3
掌握,flash,3
掌握,java,3
掌握,jsp,3
掌握,mysql,3
掌握,oracle,3
掌握,php,3
掌握,spss,3
掌握,sqlserver,3
掌握,vb,3
掌握,图片处理,3
志愿者管理岗,优秀团员,2
智囊社团副,主席,1
中心副,主席,2
中心副秘书长副,主席,1
中学,优秀团员,1
中学生,英语竞赛,1
中专院校先锋杯,优秀团员,2
主流,java,2
专业,c++,3
专业,eviews,3
专业,excel,3
专业,java,3
专业,spss,3
专业,办公软件,3
自管会副,主席,1
组织部,部长,3
